GPU,Benchmark,Environment,Seed,Algo,Training Time,Trained Until,Best Mean Reward,Wandb Link
1,dm_control,dm_control/cartpole-balance_sparse,111,TRPO,13785.9,1000000,1000.0,https://wandb.ai/devgonvarun/atari/runs/zbiakpds
1,dm_control,dm_control/cartpole-balance_sparse,333,TRPO,13796.74,1000000,1000.0,https://wandb.ai/devgonvarun/atari/runs/ctyzp1om
1,dm_control,dm_control/cartpole-balance_sparse,444,TRPO,13798.76,1000000,1000.0,https://wandb.ai/devgonvarun/atari/runs/j0u5w0rw
1,dm_control,dm_control/cartpole-balance_sparse,222,TRPO,13807.85,1000000,1000.0,https://wandb.ai/devgonvarun/atari/runs/u2ts4vnr
1,dm_control,dm_control/cartpole-swingup,333,TRPO,13814.49,1000000,865.0163660000001,https://wandb.ai/devgonvarun/atari/runs/koqfobuh
1,dm_control,dm_control/cartpole-swingup,222,TRPO,13820.23,1000000,866.2886646,https://wandb.ai/devgonvarun/atari/runs/rqbd9j8s
1,dm_control,dm_control/cartpole-swingup,444,TRPO,13820.57,1000000,866.9414679000001,https://wandb.ai/devgonvarun/atari/runs/gs9zvcbx
1,dm_control,dm_control/cartpole-swingup,111,TRPO,13837.0,1000000,866.4552225000001,https://wandb.ai/devgonvarun/atari/runs/7269i9sr
1,dm_control,dm_control/cartpole-swingup_sparse,111,TRPO,13794.92,1000000,0.0,https://wandb.ai/devgonvarun/atari/runs/9tz1yhpy
1,dm_control,dm_control/cartpole-swingup_sparse,333,TRPO,13811.38,1000000,0.0,https://wandb.ai/devgonvarun/atari/runs/0siuogbx
1,dm_control,dm_control/cheetah-run,222,TRPO,13810.19,1000000,266.6516926,https://wandb.ai/devgonvarun/atari/runs/stsoc8zu
1,dm_control,dm_control/cartpole-swingup_sparse,222,TRPO,13839.5,1000000,188.8,https://wandb.ai/devgonvarun/atari/runs/bwru89wo
1,dm_control,dm_control/cheetah-run,333,TRPO,13831.81,1000000,266.6051742,https://wandb.ai/devgonvarun/atari/runs/a2hcw1c1
1,dm_control,dm_control/cartpole-swingup_sparse,444,TRPO,13841.48,1000000,784.0,https://wandb.ai/devgonvarun/atari/runs/4kxzi7ll
1,dm_control,dm_control/cheetah-run,111,TRPO,13840.91,1000000,359.3500103,https://wandb.ai/devgonvarun/atari/runs/h3ve51d3
1,dm_control,dm_control/cheetah-run,444,TRPO,13838.32,1000000,196.3745667,https://wandb.ai/devgonvarun/atari/runs/mfz5ggwv
0,dm_control,dm_control/ball_in_cup-catch,222,TRPO,31386.09,1000000,835.9,https://wandb.ai/devgonvarun/atari/runs/n0ioaqox
0,dm_control,dm_control/ball_in_cup-catch,444,TRPO,31387.7,1000000,611.0,https://wandb.ai/devgonvarun/atari/runs/f7up2m91
0,dm_control,dm_control/ball_in_cup-catch,333,TRPO,31386.91,1000000,854.6,https://wandb.ai/devgonvarun/atari/runs/60rp1bam
0,dm_control,dm_control/ball_in_cup-catch,111,TRPO,31391.02,1000000,848.4,https://wandb.ai/devgonvarun/atari/runs/nejkiee6
0,dm_control,dm_control/cartpole-balance,444,TRPO,31419.3,1000000,667.4963309000001,https://wandb.ai/devgonvarun/atari/runs/hlj5crv8
0,dm_control,dm_control/cartpole-balance,222,TRPO,31425.14,1000000,999.8137309999998,https://wandb.ai/devgonvarun/atari/runs/skyb0fcf
0,dm_control,dm_control/cartpole-balance,111,TRPO,31424.82,1000000,999.6919803000001,https://wandb.ai/devgonvarun/atari/runs/crzt25h2
0,dm_control,dm_control/cartpole-balance,333,TRPO,31430.18,1000000,998.3039108999999,https://wandb.ai/devgonvarun/atari/runs/c3dtd36u
1,dm_control,dm_control/finger-spin,111,TRPO,15448.13,1000000,578.6,https://wandb.ai/devgonvarun/atari/runs/kald7cp5
1,dm_control,dm_control/finger-spin,222,TRPO,15424.32,1000000,630.5,https://wandb.ai/devgonvarun/atari/runs/zveu58kq
1,dm_control,dm_control/finger-spin,333,TRPO,15449.11,1000000,173.2,https://wandb.ai/devgonvarun/atari/runs/ukbbog88
1,dm_control,dm_control/finger-spin,444,TRPO,15444.44,1000000,319.3,https://wandb.ai/devgonvarun/atari/runs/o3bpwjzx
1,dm_control,dm_control/hopper-hop,222,TRPO,15437.81,1000000,37.053673499999995,https://wandb.ai/devgonvarun/atari/runs/0bne58cf
1,dm_control,dm_control/hopper-hop,111,TRPO,15451.8,1000000,58.4023476,https://wandb.ai/devgonvarun/atari/runs/s9fitlhr
1,dm_control,dm_control/hopper-hop,333,TRPO,15462.05,1000000,0.0107226,https://wandb.ai/devgonvarun/atari/runs/bhrvxku2
1,dm_control,dm_control/hopper-hop,444,TRPO,15450.21,1000000,18.3680896,https://wandb.ai/devgonvarun/atari/runs/epzoluiz
1,dm_control,dm_control/reacher-easy,111,TRPO,15440.38,1000000,254.8,https://wandb.ai/devgonvarun/atari/runs/kpoz2keu
1,dm_control,dm_control/reacher-easy,222,TRPO,15457.68,1000000,74.8,https://wandb.ai/devgonvarun/atari/runs/2vt8l3v3
1,dm_control,dm_control/reacher-easy,333,TRPO,15443.92,1000000,75.7,https://wandb.ai/devgonvarun/atari/runs/c7py08o9
1,dm_control,dm_control/reacher-easy,444,TRPO,15459.57,1000000,198.2,https://wandb.ai/devgonvarun/atari/runs/zbu289cb
1,dm_control,dm_control/reacher-hard,111,TRPO,15460.01,1000000,18.3,https://wandb.ai/devgonvarun/atari/runs/wqs93wue
1,dm_control,dm_control/reacher-hard,222,TRPO,15454.56,1000000,0.0,https://wandb.ai/devgonvarun/atari/runs/d4n9q00q
1,dm_control,dm_control/reacher-hard,333,TRPO,15445.97,1000000,9.3,https://wandb.ai/devgonvarun/atari/runs/f0imdp46
1,dm_control,dm_control/reacher-hard,444,TRPO,15446.9,1000000,14.5,https://wandb.ai/devgonvarun/atari/runs/g6sy7dif
0,dm_control,dm_control/pendulum-swingup,222,TRPO,33307.96,1000000,665.0,https://wandb.ai/devgonvarun/atari/runs/pw3zrkmp
0,dm_control,dm_control/pendulum-swingup,111,TRPO,33313.39,1000000,457.9,https://wandb.ai/devgonvarun/atari/runs/j43nk4dc
0,dm_control,dm_control/pendulum-swingup,444,TRPO,33311.86,1000000,52.4,https://wandb.ai/devgonvarun/atari/runs/ei000ekp
0,dm_control,dm_control/pendulum-swingup,333,TRPO,33346.66,1000000,428.7,https://wandb.ai/devgonvarun/atari/runs/8qh4cprs
0,dm_control,dm_control/hopper-stand,111,TRPO,35444.13,1000000,196.8815201,https://wandb.ai/devgonvarun/atari/runs/aya1rjhc
0,dm_control,dm_control/hopper-stand,222,TRPO,35443.89,1000000,34.9155912,https://wandb.ai/devgonvarun/atari/runs/n71kmw3o
0,dm_control,dm_control/hopper-stand,333,TRPO,35447.38,1000000,39.7930793,https://wandb.ai/devgonvarun/atari/runs/r2lb5hck
0,dm_control,dm_control/hopper-stand,444,TRPO,35449.18,1000000,9.181666400000001,https://wandb.ai/devgonvarun/atari/runs/dcruuupf
