GPU,Benchmark,Environment,Seed,Training Time,Trained Until,Best Mean Reward,Wandb Link
1,Mujoco,Hopper,222,23928.52,1340000.0,3002.062174,https://wandb.ai/devgonvarun/mujoco/runs/hlbkj2mv
1,Mujoco,Reacher,111,55768.16,1260000.0,-1.9431159999999998,https://wandb.ai/devgonvarun/mujoco/runs/g7fv7mcc
0,Mujoco,Hopper,444,67616.46,1260000.0,2164.26119,https://wandb.ai/devgonvarun/mujoco/runs/3j6ygjcp
0,Mujoco,Hopper,333,99771.8,1830000.0,2802.8049679999995,https://wandb.ai/devgonvarun/mujoco/runs/ncx6lw01
0,Mujoco,HalfCheetah,444,110512.33,1260000.0,1845.6306894000002,https://wandb.ai/devgonvarun/mujoco/runs/6lcysx37
1,Mujoco,Reacher,222,55990.15,1260000.0,-2.0220668,https://wandb.ai/devgonvarun/mujoco/runs/we4z7uc7
0,Mujoco,HalfCheetah,333,113238.21,1300000.0,1892.5293754,https://wandb.ai/devgonvarun/mujoco/runs/3v7j61vg
0,Mujoco,Hopper,111,117009.77,2270000.0,3262.1566026,https://wandb.ai/devgonvarun/mujoco/runs/awmrfgsb
0,Mujoco,HalfCheetah,222,118223.91,1380000.0,1836.9949291999997,https://wandb.ai/devgonvarun/mujoco/runs/n2ixdsxl
1,Mujoco,Ant,111,125509.79,1570000.0,6327.8010288,https://wandb.ai/devgonvarun/mujoco/runs/h1dd0qky
0,Mujoco,Reacher,333,59596.83,1300000.0,-2.4863804,https://wandb.ai/devgonvarun/mujoco/runs/nqqcljpo
0,Mujoco,InvertedDoublePendulum,111,26748.66,1260000.0,9359.9172614,https://wandb.ai/devgonvarun/mujoco/runs/d4tg7arr
1,Mujoco,Ant,333,146674.4,1750000.0,6378.500730600001,https://wandb.ai/devgonvarun/mujoco/runs/9r74smiz
0,Mujoco,InvertedPendulum,111,39511.43,1260000.0,1000.0,https://wandb.ai/devgonvarun/mujoco/runs/xlwctmu4
1,Mujoco,InvertedPendulum,222,40399.65,1260000.0,1000.0,https://wandb.ai/devgonvarun/mujoco/runs/jbjie9ia
