GPU,Benchmark,Environment,Seed,Training Time,Trained Until,Best Mean Reward,Wandb Link
0,atari,BattleZoneNoFrameskip,333,29094.75,1260000.0,28000.0,https://wandb.ai/devgonvarun/atari/runs/weewco1p
1,atari,BattleZoneNoFrameskip,222,30091.45,1260000.0,34200.0,https://wandb.ai/devgonvarun/atari/runs/3hfgnccq
0,atari,BattleZoneNoFrameskip,444,30836.25,1280000.0,33200.0,https://wandb.ai/devgonvarun/atari/runs/8xk5h88k
0,atari,NameThisGameNoFrameskip,222,31829.83,1260000.0,7004.0,https://wandb.ai/devgonvarun/atari/runs/h4yu4ahr
0,atari,NameThisGameNoFrameskip,444,32116.93,1260000.0,6572.0,https://wandb.ai/devgonvarun/atari/runs/6qob3mp6
0,atari,BattleZoneNoFrameskip,111,33384.51,1470000.0,35000.0,https://wandb.ai/devgonvarun/atari/runs/l8rq1l8m
0,atari,NameThisGameNoFrameskip,333,35138.24,1390000.0,6798.0,https://wandb.ai/devgonvarun/atari/runs/phehbo4x
0,atari,PhoenixNoFrameskip,111,39953.67,1330000.0,8886.0,https://wandb.ai/devgonvarun/atari/runs/w125g0jf
1,atari,PhoenixNoFrameskip,222,43896.21,1390000.0,11560.0,https://wandb.ai/devgonvarun/atari/runs/n0t6a9yh
0,atari,NameThisGameNoFrameskip,111,45008.13,1750000.0,6960.0,https://wandb.ai/devgonvarun/atari/runs/0jytdrl8
1,atari,PhoenixNoFrameskip,333,46381.14,1450000.0,11308.0,https://wandb.ai/devgonvarun/atari/runs/z95bi42e
0,atari,QbertNoFrameskip,444,27735.37,1260000.0,16505.0,https://wandb.ai/devgonvarun/atari/runs/j0ew70sj
0,atari,QbertNoFrameskip,111,30753.89,1410000.0,15410.0,https://wandb.ai/devgonvarun/atari/runs/am9moztt
1,atari,PhoenixNoFrameskip,444,60244.42,1920000.0,23244.0,https://wandb.ai/devgonvarun/atari/runs/8w6agwza
1,atari,QbertNoFrameskip,222,32944.48,1420000.0,18815.0,https://wandb.ai/devgonvarun/atari/runs/sbk64i7z
0,atari,QbertNoFrameskip,333,34267.55,1530000.0,17865.0,https://wandb.ai/devgonvarun/atari/runs/65kx07el
1,atari,DoubleDunkNoFrameskip,444,73806.47,1260000.0,0.0,https://wandb.ai/devgonvarun/atari/runs/wpi32fk5
1,atari,DoubleDunkNoFrameskip,111,73832.83,1260000.0,0.8,https://wandb.ai/devgonvarun/atari/runs/qa6c3034
1,atari,DoubleDunkNoFrameskip,222,74172.59,1260000.0,-0.4,https://wandb.ai/devgonvarun/atari/runs/1eya2nme
0,atari,AmidarNoFrameskip,444,35350.77,1490000.0,849.6,https://wandb.ai/devgonvarun/atari/runs/3uj7a39u
0,atari,FrostbiteNoFrameskip,222,30517.62,1260000.0,1682.0,https://wandb.ai/devgonvarun/atari/runs/fj4g4mkx
1,atari,FrostbiteNoFrameskip,333,31821.57,1260000.0,2586.0,https://wandb.ai/devgonvarun/atari/runs/ikbjtit2
1,atari,FrostbiteNoFrameskip,111,34645.79,1260000.0,2224.0,https://wandb.ai/devgonvarun/atari/runs/7bwwja8j
1,atari,DoubleDunkNoFrameskip,333,86490.14,1470000.0,0.4,https://wandb.ai/devgonvarun/atari/runs/61su9tes
1,atari,BowlingNoFrameskip,222,39410.74,1260000.0,128.0,https://wandb.ai/devgonvarun/atari/runs/w9uj3q6s
0,atari,AmidarNoFrameskip,111,67584.8,2740000.0,1642.8,https://wandb.ai/devgonvarun/atari/runs/0dmgiju3
0,atari,AmidarNoFrameskip,222,67473.36,2790000.0,1158.0,https://wandb.ai/devgonvarun/atari/runs/m5w620gr
1,atari,BowlingNoFrameskip,333,37868.66,1330000.0,74.4,https://wandb.ai/devgonvarun/atari/runs/aj59yow4
0,atari,AmidarNoFrameskip,333,66529.98,2720000.0,1413.6,https://wandb.ai/devgonvarun/atari/runs/f1sk83ud
0,atari,FrostbiteNoFrameskip,444,45080.56,1690000.0,4214.0,https://wandb.ai/devgonvarun/atari/runs/xkdc0go3
0,atari,BowlingNoFrameskip,444,39595.41,1260000.0,63.2,https://wandb.ai/devgonvarun/atari/runs/loaevzmi
0,atari,BowlingNoFrameskip,111,45257.75,1260000.0,120.2,https://wandb.ai/devgonvarun/atari/runs/xsh4czzf
0,atari,KungFuMasterNoFrameskip,444,34674.88,1260000.0,34720.0,https://wandb.ai/devgonvarun/atari/runs/pi4c3kfn
1,atari,KungFuMasterNoFrameskip,333,36120.09,1260000.0,55520.0,https://wandb.ai/devgonvarun/atari/runs/zj1qjhni
1,atari,KungFuMasterNoFrameskip,111,37949.88,1340000.0,26560.0,https://wandb.ai/devgonvarun/atari/runs/0mb4ffzd
1,atari,KungFuMasterNoFrameskip,222,41777.64,1480000.0,43440.0,https://wandb.ai/devgonvarun/atari/runs/eobt6nie
0,atari,RiverraidNoFrameskip,111,44749.95,1940000.0,12180.0,https://wandb.ai/devgonvarun/atari/runs/2pl0m0qx
1,atari,RiverraidNoFrameskip,222,56796.95,2400000.0,15036.0,https://wandb.ai/devgonvarun/atari/runs/v0pyghpg
1,atari,RiverraidNoFrameskip,333,78119.57,3480000.0,11674.0,https://wandb.ai/devgonvarun/atari/runs/468imxn6
1,atari,RiverraidNoFrameskip,444,70572.68,3140000.0,15948.0,https://wandb.ai/devgonvarun/atari/runs/rbshypve
